idH,C1,C2,C4,C5,C6,C7,C8,C9,M. P.
ANT2_TS,30.0,100.0,25.4538,37.5119,100.0,48.7632,36.4863,68.2559,41.4085044117647
ANT2_VND,30.0,100.0,18.9473,31.282,100.0,37.4449,40.5632,80.7425,39.865939705882354
ANT2_VND2,70.0,100.0,29.2115,25.6129,100.0,65.8005,34.6895,75.3085,49.92917676470588
ANT_TS,70.0,100.0,38.0857,34.1356,100.0,31.7016,32.7468,50.0496,42.6997
ANT_VND,30.0,100.0,30.0762,36.8089,100.0,25.2116,21.994,85.9895,38.05897970588235
ANT_VND2,30.0,100.0,42.5622,43.1811,100.0,41.5081,31.8177,61.5505,42.218043823529406
GRASP_RG_TS,30.0,100.0,89.6602,95.0752,100.0,69.0966,53.2396,69.2281,68.57199382352941
GRASP_RG_VND,100.0,100.0,97.8571,100.0,100.0,55.178,87.5476,94.8571,88.74315911764705
GRASP_RG_VND2,30.0,100.0,90.3356,97.6989,100.0,100.0,98.666,86.3194,85.14154705882353
KIEst,30.0,100.0,40.0844,46.5028,100.0,7.552,31.0164,0.0,26.942115294117652
