idH,C1,C4,C5,C7,C8,C9,M. P.
ANT2_TS,30.0,25.4538,37.5119,48.7632,36.4863,68.2559,41.30532441176471
ANT2_VND,30.0,18.9473,31.282,37.4449,40.5632,80.7425,39.88272235294117
ANT2_VND2,70.0,29.2115,25.6129,65.8005,34.6895,75.3085,48.814511176470596
ANT_TS,70.0,38.0857,34.1356,31.7016,32.7468,50.0496,41.287077352941175
ANT_VND,30.0,30.0762,36.8089,25.2116,21.994,85.9895,38.26070411764706
ANT_VND2,30.0,42.5622,43.1811,41.5081,31.8177,61.5505,42.183780882352934
GRASP_RG_TS,30.0,89.6602,95.0752,69.0966,53.2396,69.2281,69.60968323529411
GRASP_RG_VND,100.0,97.8571,100.0,55.178,87.5476,94.8571,88.59686941176471
GRASP_RG_VND2,30.0,90.3356,97.6989,100.0,98.666,86.3194,86.64356441176471
KIEst,30.0,40.0844,46.5028,7.552,31.0164,0.0,25.826756470588236
