idH,idI,rep,val,time
KIEst,C8p78k127L280R280_0,0,4,1.4040348529815674
KIEst,C8p78k127L280R280_0,1,4,1.3077430725097656
ANT_TS,C8p78k127L280R280_0,0,4,9.337040662765503
GRASP_RG_VND2,C8p78k127L280R280_0,0,4,9.348347663879395
ANT_VND,C8p78k127L280R280_0,0,4,9.34532380104065
GRASP_RG_TS,C8p78k127L280R280_0,0,4,9.373018741607666
ANT2_TS,C8p78k127L280R280_0,0,4,9.345638990402222
ANT_VND2,C8p78k127L280R280_0,0,4,9.346638679504395
GRASP_RG_VND,C8p78k127L280R280_0,0,4,9.403958320617676
ANT2_VND,C8p78k127L280R280_0,0,4,9.340981006622314
ANT2_VND2,C8p78k127L280R280_0,0,4,9.34349012374878
KIEst,C8p78k127L280R280_0,2,4,1.4132099151611328
GRASP_RG_TS,C8p78k127L280R280_0,1,4,9.35727310180664
GRASP_RG_VND2,C8p78k127L280R280_0,1,4,9.338935852050781
GRASP_RG_VND,C8p78k127L280R280_0,1,4,9.355236530303955
ANT_TS,C8p78k127L280R280_0,1,4,9.349956512451172
ANT_VND,C8p78k127L280R280_0,1,4,9.342440843582153
ANT2_TS,C8p78k127L280R280_0,1,4,9.340133428573608
ANT_VND2,C8p78k127L280R280_0,1,4,9.343228578567505
ANT2_VND,C8p78k127L280R280_0,1,4,9.340394258499146
ANT2_VND2,C8p78k127L280R280_0,1,4,9.343607187271118
KIEst,C8p78k127L280R280_0,3,4,1.408541202545166
GRASP_RG_TS,C8p78k127L280R280_0,2,4,9.427521228790283
GRASP_RG_VND,C8p78k127L280R280_0,2,4,9.386789083480835
ANT_VND,C8p78k127L280R280_0,2,4,9.337431192398071
ANT_TS,C8p78k127L280R280_0,2,4,9.347940444946289
GRASP_RG_VND2,C8p78k127L280R280_0,2,4,9.360452651977539
ANT_VND2,C8p78k127L280R280_0,2,4,9.342937469482422
ANT2_VND,C8p78k127L280R280_0,2,4,9.341439247131348
ANT2_TS,C8p78k127L280R280_0,2,4,9.34594464302063
ANT2_VND2,C8p78k127L280R280_0,2,4,9.341440200805664
KIEst,C8p78k127L280R280_0,4,4,1.4109203815460205
GRASP_RG_TS,C8p78k127L280R280_0,3,4,9.338951587677002
GRASP_RG_VND,C8p78k127L280R280_0,3,4,9.397526264190674
GRASP_RG_VND2,C8p78k127L280R280_0,3,4,9.340177297592163
ANT_VND2,C8p78k127L280R280_0,3,4,9.338032007217407
ANT_TS,C8p78k127L280R280_0,3,4,9.345036506652832
ANT_VND,C8p78k127L280R280_0,3,4,9.346036911010742
ANT2_TS,C8p78k127L280R280_0,3,4,9.3445303440094
ANT2_VND,C8p78k127L280R280_0,3,4,9.346034288406372
ANT2_VND2,C8p78k127L280R280_0,3,3,9.345529556274414
KIEst,C8p78k127L280R280_0,5,4,1.3033192157745361
GRASP_RG_TS,C8p78k127L280R280_0,4,4,9.34209156036377
GRASP_RG_VND,C8p78k127L280R280_0,4,4,9.355475664138794
GRASP_RG_VND2,C8p78k127L280R280_0,4,4,9.346507549285889
ANT_TS,C8p78k127L280R280_0,4,4,9.342888832092285
ANT_VND,C8p78k127L280R280_0,4,3,9.343204259872437
ANT_VND2,C8p78k127L280R280_0,4,4,9.339199304580688
ANT2_VND,C8p78k127L280R280_0,4,4,9.340714454650879
ANT2_TS,C8p78k127L280R280_0,4,4,9.341714143753052
ANT2_VND2,C8p78k127L280R280_0,4,4,9.34120798110962
GRASP_RG_TS,C8p78k127L280R280_0,5,4,9.338635921478271
KIEst,C8p78k127L280R280_0,6,4,1.3578135967254639
GRASP_RG_VND,C8p78k127L280R280_0,5,4,9.340620756149292
GRASP_RG_VND2,C8p78k127L280R280_0,5,4,9.415246725082397
ANT_TS,C8p78k127L280R280_0,5,4,9.34367299079895
ANT_VND,C8p78k127L280R280_0,5,4,9.347993850708008
ANT2_TS,C8p78k127L280R280_0,5,4,9.339820623397827
ANT_VND2,C8p78k127L280R280_0,5,4,9.34182071685791
ANT2_VND2,C8p78k127L280R280_0,5,4,9.344818115234375
ANT2_VND,C8p78k127L280R280_0,5,4,9.346818685531616
GRASP_RG_VND,C8p78k127L280R280_0,6,4,9.354160785675049
GRASP_RG_TS,C8p78k127L280R280_0,6,4,9.42826771736145
GRASP_RG_VND2,C8p78k127L280R280_0,6,4,9.347172260284424
KIEst,C8p78k127L280R280_0,7,4,1.495373010635376
ANT_TS,C8p78k127L280R280_0,6,4,9.338653326034546
ANT_VND,C8p78k127L280R280_0,6,4,9.347165584564209
ANT_VND2,C8p78k127L280R280_0,6,4,9.34173846244812
ANT2_VND,C8p78k127L280R280_0,6,4,9.342749118804932
ANT2_TS,C8p78k127L280R280_0,6,4,9.344252824783325
ANT2_VND2,C8p78k127L280R280_0,6,4,9.335750579833984
GRASP_RG_TS,C8p78k127L280R280_0,7,4,9.357255697250366
KIEst,C8p78k127L280R280_0,8,4,1.4182119369506836
GRASP_RG_VND,C8p78k127L280R280_0,7,4,9.36325716972351
ANT_TS,C8p78k127L280R280_0,7,4,9.338685512542725
GRASP_RG_VND2,C8p78k127L280R280_0,7,4,9.416301012039185
ANT_VND,C8p78k127L280R280_0,7,4,9.336677074432373
ANT_VND2,C8p78k127L280R280_0,7,4,9.344165325164795
ANT2_TS,C8p78k127L280R280_0,7,4,9.339007139205933
ANT2_VND,C8p78k127L280R280_0,7,4,9.343953609466553
ANT2_VND2,C8p78k127L280R280_0,7,4,9.34645962715149
GRASP_RG_TS,C8p78k127L280R280_0,8,4,9.336793661117554
KIEst,C8p78k127L280R280_0,9,4,1.3925323486328125
GRASP_RG_VND2,C8p78k127L280R280_0,8,4,9.389862537384033
GRASP_RG_VND,C8p78k127L280R280_0,8,4,9.3938627243042
ANT_TS,C8p78k127L280R280_0,8,4,9.343311548233032
ANT_VND,C8p78k127L280R280_0,8,4,9.343315362930298
ANT_VND2,C8p78k127L280R280_0,8,4,9.34080982208252
ANT2_TS,C8p78k127L280R280_0,8,4,9.335797786712646
ANT2_VND,C8p78k127L280R280_0,8,4,9.336456060409546
ANT2_VND2,C8p78k127L280R280_0,8,4,9.336042404174805
KIEst,C4p47k6L60R48_0,0,7,0.0035114288330078125
GRASP_RG_VND,C8p78k127L280R280_0,9,4,9.348505735397339
GRASP_RG_TS,C8p78k127L280R280_0,9,4,9.360539436340332
ANT_TS,C8p78k127L280R280_0,9,4,9.339025020599365
ANT_VND,C8p78k127L280R280_0,9,4,9.337513208389282
GRASP_RG_VND2,C8p78k127L280R280_0,9,4,9.374074935913086
ANT_VND2,C8p78k127L280R280_0,9,4,9.34403133392334
ANT2_TS,C8p78k127L280R280_0,9,4,9.33853006362915
ANT2_VND,C8p78k127L280R280_0,9,4,9.336529016494751
KIEst,C4p47k6L60R48_0,1,7,0.0029997825622558594
GRASP_RG_TS,C4p47k6L60R48_0,0,7,2.021496295928955
ANT2_VND2,C8p78k127L280R280_0,9,4,9.3377046585083
GRASP_RG_VND,C4p47k6L60R48_0,0,7,2.0003538131713867
GRASP_RG_VND2,C4p47k6L60R48_0,0,7,2.0008621215820312
ANT_TS,C4p47k6L60R48_0,0,7,2.0008819103240967
ANT_VND,C4p47k6L60R48_0,0,7,2.000894784927368
ANT_VND2,C4p47k6L60R48_0,0,7,2.0009007453918457
ANT2_TS,C4p47k6L60R48_0,0,7,2.0009078979492188
ANT2_VND,C4p47k6L60R48_0,0,7,2.0009045600891113
ANT2_VND2,C4p47k6L60R48_0,0,7,2.0004353523254395
KIEst,C4p47k6L60R48_0,2,7,0.0029993057250976562
GRASP_RG_TS,C4p47k6L60R48_0,1,7,2.000077486038208
GRASP_RG_VND,C4p47k6L60R48_0,1,7,2.0000181198120117
GRASP_RG_VND2,C4p47k6L60R48_0,1,7,2.0000669956207275
ANT_TS,C4p47k6L60R48_0,1,7,2.0000650882720947
ANT_VND,C4p47k6L60R48_0,1,7,2.000061511993408
ANT_VND2,C4p47k6L60R48_0,1,7,2.0000550746917725
ANT2_TS,C4p47k6L60R48_0,1,7,2.0005478858947754
ANT2_VND,C4p47k6L60R48_0,1,7,2.0000643730163574
ANT2_VND2,C4p47k6L60R48_0,1,7,2.000063896179199
KIEst,C4p47k6L60R48_0,3,7,0.003007173538208008
GRASP_RG_TS,C4p47k6L60R48_0,2,7,2.0000853538513184
GRASP_RG_VND,C4p47k6L60R48_0,2,7,2.0004475116729736
GRASP_RG_VND2,C4p47k6L60R48_0,2,7,2.0005526542663574
ANT_TS,C4p47k6L60R48_0,2,7,2.000486373901367
ANT_VND,C4p47k6L60R48_0,2,7,2.0004847049713135
ANT_VND2,C4p47k6L60R48_0,2,7,2.0004677772521973
ANT2_TS,C4p47k6L60R48_0,2,7,2.000462770462036
ANT2_VND,C4p47k6L60R48_0,2,7,2.000453233718872
ANT2_VND2,C4p47k6L60R48_0,2,7,2.0004494190216064
KIEst,C4p47k6L60R48_0,4,7,0.004001617431640625
GRASP_RG_TS,C4p47k6L60R48_0,3,7,2.00044846534729
GRASP_RG_VND,C4p47k6L60R48_0,3,7,2.000429630279541
GRASP_RG_VND2,C4p47k6L60R48_0,3,7,2.001580238342285
ANT_TS,C4p47k6L60R48_0,3,7,2.0006823539733887
ANT_VND,C4p47k6L60R48_0,3,7,2.0007498264312744
ANT_VND2,C4p47k6L60R48_0,3,7,2.0002341270446777
ANT2_TS,C4p47k6L60R48_0,3,7,2.0007476806640625
ANT2_VND,C4p47k6L60R48_0,3,7,2.000757932662964
ANT2_VND2,C4p47k6L60R48_0,3,7,2.0007643699645996
