idH,mvmin,mvavg,mvmax,mtavg,cnt_vmin,cnt_vavg,cnt_vmax,cnt_tavg,score
ANT2_TS,5.8,5.996176470588236,6.208823529411765,5.286822723360623,243,197,300,0,32.2254
ANT2_VND,5.805882352941176,5.985294117647059,6.1382352941176475,5.285067765572492,247,201,280,0,26.9073
ANT2_VND2,5.8352941176470585,6.02529411764706,6.214705882352941,5.286044621888329,255,211,301,0,44.5738
ANT_TS,5.785294117647059,5.980294117647059,6.176470588235294,5.287266649709029,242,201,292,0,27.4952
ANT_VND,5.779411764705882,5.955588235294118,6.152941176470589,5.284909424220815,240,203,287,0,22.7104
ANT_VND2,5.794117647058823,5.985588235294118,6.16764705882353,5.286218821511549,244,206,288,0,29.3235
GRASP_RG_TS,5.944117647058824,6.073823529411764,6.229411764705882,5.293435980572419,292,242,305,0,75.4661
GRASP_RG_VND,5.947058823529412,6.0976470588235285,6.247058823529412,5.295341563785777,291,259,313,0,84.3122
GRASP_RG_VND2,5.982352941176471,6.132941176470589,6.273529411764706,5.295120968397926,303,276,320,0,100.0
KIEst,5.932352941176471,5.932352941176471,5.932352941176471,0.3480771233053768,288,237,235,340,32.8595
