idH,score_C1,score_C2,score_C4,score_C5,score_C6,score_C7,score_C8,score_C9,avg
ANT2_TS,37.1428,100.0,25.4255,12.2439,100.0,57.2696,21.8114,49.1975,50.38633749999999
ANT2_VND,12.3041,100.0,34.5754,0.4878,100.0,33.8746,33.2104,51.9753,45.80345
ANT2_VND2,3.8709,100.0,36.159,13.9512,100.0,61.2985,48.1261,74.6604,54.7582625
ANT_TS,10.3686,100.0,34.9179,14.6829,100.0,34.924,33.6103,35.895,45.54983749999999
ANT_VND,14.2857,100.0,38.7781,11.9999,100.0,24.164,24.8354,49.2901,45.41915
ANT_VND2,10.3686,100.0,37.0263,28.1313,100.0,31.6773,39.5653,36.6358,47.925575
GRASP_RG_TS,60.9216,100.0,86.6423,89.8686,100.0,65.3551,68.5036,68.858,80.01865000000001
GRASP_RG_VND,69.3548,100.0,98.3333,96.9606,100.0,55.6907,94.9741,97.2839,89.07467500000001
GRASP_RG_VND2,95.7142,100.0,92.7456,95.3846,100.0,100.0,95.9016,100.0,97.46825
KIEst,69.3548,100.0,40.3809,78.0975,100.0,6.746,42.9411,34.9999,59.065025000000006
