idH,score_C1,score_C4,score_C5,score_C7,score_C8,score_C9,avg
ANT2_TS,30.0,25.4538,37.5119,48.7632,36.4863,68.2559,41.078516666666665
ANT2_VND,30.0,18.9473,31.282,37.4449,40.5632,80.7425,39.82998333333333
ANT2_VND2,70.0,29.2115,25.6129,65.8005,34.6895,75.3085,50.10381666666667
ANT_TS,70.0,38.0857,34.1356,31.7016,32.7468,50.0496,42.78655
ANT_VND,30.0,30.0762,36.8089,25.2116,21.994,85.9895,38.3467
ANT_VND2,30.0,42.5622,43.1811,41.5081,31.8177,61.5505,41.769933333333334
GRASP_RG_TS,30.0,89.6602,95.0752,69.0966,53.2396,69.2281,67.71661666666667
GRASP_RG_VND,100.0,97.8571,100.0,55.178,87.5476,94.8571,89.23996666666666
GRASP_RG_VND2,30.0,90.3356,97.6989,100.0,98.666,86.3194,83.83665
KIEst,30.0,40.0844,46.5028,7.552,31.0164,0.0,25.859266666666667
