idH,mvmin,mvavg,mvmax,mtavg,cnt_vmin,cnt_vavg,cnt_vmax,cnt_tavg,score
ANT2_TS,5.85,6.028823529411765,6.2,5.208699374900145,263,214,301,0,38.7444
ANT2_VND,5.83235294117647,6.008529411764706,6.194117647058824,5.206958915205563,259,216,298,0,34.4058
ANT2_VND2,5.864705882352941,6.048235294117648,6.208823529411765,5.207805044510785,268,222,302,0,45.892
ANT_TS,5.820588235294117,6.001764705882353,6.179411764705883,5.2091426439846265,256,215,297,0,31.0293
ANT_VND,5.820588235294117,5.989705882352941,6.1647058823529415,5.20669839795898,256,217,289,0,28.5772
ANT_VND2,5.847058823529411,6.015588235294118,6.1911764705882355,5.20798605280764,264,220,299,0,38.7029
GRASP_RG_TS,5.958823529411765,6.088823529411766,6.229411764705882,5.214931090929929,298,251,308,0,75.1467
GRASP_RG_VND,5.95,6.105294117647059,6.258823529411765,5.217452227788813,296,265,318,0,82.7059
GRASP_RG_VND2,6.014705882352941,6.133235294117648,6.261764705882353,5.217088691416908,316,279,320,0,100.0
KIEst,5.911764705882353,5.911764705882353,5.911764705882353,0.337293372294482,285,233,231,340,20.1416
