idH,idI,rep,val,time
KIEst,C7p72k61L280R280_1,0,7,0.7317934036254883
KIEst,C7p72k61L280R280_1,1,7,0.5506250858306885
GRASP_RG_VND,C7p72k61L280R280_1,0,7,9.334926843643188
ANT_VND,C7p72k61L280R280_1,0,6,9.3369140625
ANT_TS,C7p72k61L280R280_1,0,6,9.342930793762209
GRASP_RG_TS,C7p72k61L280R280_1,0,6,9.354714155197144
ANT_VND2,C7p72k61L280R280_1,0,6,9.3409161567688
ANT2_TS,C7p72k61L280R280_1,0,6,9.34492802619934
ANT2_VND,C7p72k61L280R280_1,0,6,9.338906049728394
GRASP_RG_VND2,C7p72k61L280R280_1,0,7,9.368489980697632
ANT2_VND2,C7p72k61L280R280_1,0,6,9.338890790939333
KIEst,C7p72k61L280R280_1,2,7,0.4259417057037353
GRASP_RG_TS,C7p72k61L280R280_1,1,6,9.334431409835815
ANT_VND,C7p72k61L280R280_1,1,6,9.3370623588562
ANT_TS,C7p72k61L280R280_1,1,7,9.342819213867188
ANT_VND2,C7p72k61L280R280_1,1,6,9.33881139755249
GRASP_RG_VND,C7p72k61L280R280_1,1,7,9.370367527008057
ANT2_VND,C7p72k61L280R280_1,1,6,9.338809251785278
ANT2_VND2,C7p72k61L280R280_1,1,6,9.340812921524048
ANT2_TS,C7p72k61L280R280_1,1,6,9.342819929122925
GRASP_RG_VND2,C7p72k61L280R280_1,1,6,9.360349893569946
GRASP_RG_TS,C7p72k61L280R280_1,2,6,9.339339971542358
KIEst,C7p72k61L280R280_1,3,7,0.6520452499389648
GRASP_RG_VND,C7p72k61L280R280_1,2,7,9.370294094085692
GRASP_RG_VND2,C7p72k61L280R280_1,2,6,9.342581748962402
ANT_VND,C7p72k61L280R280_1,2,6,9.336814880371094
ANT_TS,C7p72k61L280R280_1,2,6,9.342571020126345
ANT_VND2,C7p72k61L280R280_1,2,6,9.34080982208252
ANT2_VND,C7p72k61L280R280_1,2,6,9.338794708251951
ANT2_TS,C7p72k61L280R280_1,2,6,9.3428053855896
ANT2_VND2,C7p72k61L280R280_1,2,7,9.34178638458252
GRASP_RG_TS,C7p72k61L280R280_1,3,6,9.41799521446228
GRASP_RG_VND,C7p72k61L280R280_1,3,7,9.372137784957886
KIEst,C7p72k61L280R280_1,4,7,0.8121438026428223
GRASP_RG_VND2,C7p72k61L280R280_1,3,6,9.335023403167725
ANT_VND,C7p72k61L280R280_1,3,6,9.335378408432009
ANT2_VND2,C7p72k61L280R280_1,3,6,9.34042763710022
ANT2_TS,C7p72k61L280R280_1,3,7,9.349427461624146
ANT_VND2,C7p72k61L280R280_1,3,6,9.340625047683716
ANT_TS,C7p72k61L280R280_1,3,6,9.3678138256073
ANT2_VND,C7p72k61L280R280_1,3,6,9.337425947189333
GRASP_RG_TS,C7p72k61L280R280_1,4,6,9.361985445022585
GRASP_RG_VND,C7p72k61L280R280_1,4,7,9.343044757843018
GRASP_RG_VND2,C7p72k61L280R280_1,4,7,9.350106239318848
KIEst,C7p72k61L280R280_1,5,7,1.1010591983795166
ANT_TS,C7p72k61L280R280_1,4,7,9.343735933303831
ANT_VND,C7p72k61L280R280_1,4,6,9.335651874542236
